RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15500001,Smith,600,France,Female,34,3,0,2,1,1,50000,0
2,15500002,Johnson,650,Spain,Male,41,5,125000,1,1,0,60000,1
3,15500003,Williams,710,Germany,Female,29,2,76000,2,0,1,72000,0
4,15500004,Brown,580,France,Male,52,8,43000,1,1,1,48000,1
5,15500005,Jones,690,Spain,Female,37,4,0,2,1,0,91000,0
6,15500006,Garcia,730,Germany,Male,45,6,98000,3,0,1,105000,1
7,15500007,Miller,640,France,Female,31,1,35000,1,1,1,55000,0
8,15500008,Davis,720,Spain,Male,48,9,150000,2,1,0,99000,1
9,15500009,Rodriguez,610,Germany,Female,26,2,22000,1,0,1,43000,0
10,15500010,Martinez,660,France,Male,39,7,84000,2,1,1,78000,1
11,15500011,Hernandez,705,Spain,Female,33,5,0,2,1,0,62000,0
12,15500012,Lopez,575,Germany,Male,55,10,132000,1,0,1,47000,1
13,15500013,Gonzalez,688,France,Female,44,6,56000,2,1,1,85000,0
14,15500014,Wilson,742,Spain,Male,36,3,111000,3,1,0,115000,1
15,15500015,Anderson,625,Germany,Female,28,4,0,1,1,1,39000,0
16,15500016,Thomas,715,France,Male,50,8,95000,2,0,1,101000,1
17,15500017,Taylor,635,Spain,Female,40,2,47000,1,1,0,68000,0
18,15500018,Moore,755,Germany,Male,47,7,143000,2,1,1,123000,1
19,15500019,Jackson,605,France,Female,30,1,26000,1,0,1,41000,0
20,15500020,Martin,670,Spain,Male,42,5,88000,2,1,0,76000,1
21,15500021,Lee,695,Germany,Female,35,6,0,2,1,1,84000,0
22,15500022,Perez,585,France,Male,53,9,69000,1,0,1,52000,1
23,15500023,Thompson,725,Spain,Female,32,3,102000,2,1,0,97000,0
24,15500024,White,640,Germany,Male,46,8,118000,3,1,1,110000,1
